workload,m,n,k,total_macs,dataflow,topology,num_chiplets,link_bw,link_latency,strategy,sub_m,sub_n,sub_k,compute_cycles,distribute_cycles,reduce_cycles,total_cycles_no_overlap,total_cycles_overlap,speedup_no_overlap,speedup_overlap,efficiency_no_overlap,efficiency_overlap,baseline_cycles
resnet50_conv1,12544,64,147,118013952,os,hierarchical,8,16,10,split_mn,6272,16,147,19649,172907,0,192556,172907,0.20408608404827686,0.22727824784421682,0.025510760506034607,0.028409780980527103,39298
resnet50_conv1,12544,64,147,118013952,os,hierarchical,8,16,10,split_n,12544,8,147,39298,345779,0,385077,345779,0.1020523168093654,0.1136506265562686,0.012756539601170675,0.014206328319533576,39298
resnet50_conv1,12544,64,147,118013952,os,hierarchical,8,16,10,split_k,12544,64,19,26754,188304,200774,415832,389078,0.09450451143731123,0.10100288374053532,0.011813063929663904,0.012625360467566914,39298
resnet50_conv1,12544,64,147,118013952,os,hierarchical,8,64,10,split_m,1568,64,147,5213,476,0,5689,5213,6.907716646159255,7.538461538461538,0.8634645807699068,0.9423076923076923,39298
resnet50_conv1,12544,64,147,118013952,os,hierarchical,8,64,10,split_mn,6272,16,147,19649,43253,0,62902,43253,0.6247496105052304,0.908561255866645,0.0780937013131538,0.11357015698333063,39298
resnet50_conv1,12544,64,147,118013952,os,hierarchical,8,64,10,split_k,12544,64,19,26754,47129,50246,124129,97375,0.3165899991138251,0.40357381258023106,0.03957374988922814,0.05044672657252888,39298
resnet50_conv1,12544,64,147,118013952,os,hierarchical,8,64,10,split_n,12544,8,147,39298,86471,0,125769,86471,0.31246173540379585,0.4544645025499879,0.03905771692547448,0.056808062818748485,39298
resnet50_conv1,12544,64,147,118013952,os,hierarchical,8,256,10,split_m,1568,64,147,5213,146,0,5359,5213,7.333084530696025,7.538461538461538,0.9166355663370032,0.9423076923076923,39298
resnet50_conv1,12544,64,147,118013952,os,hierarchical,8,256,10,split_mn,6272,16,147,19649,10840,0,30489,19649,1.288923874184132,2.0,0.1611154842730165,0.25,39298
resnet50_conv1,12544,64,147,118013952,os,hierarchical,8,256,10,split_k,12544,64,19,26754,11835,12614,51203,39368,0.7674940921430385,0.998221906116643,0.09593676151787982,0.12477773826458037,39298
resnet50_conv1,12544,64,147,118013952,os,hierarchical,8,256,10,split_n,12544,8,147,39298,21644,0,60942,39298,0.6448426372616586,1.0,0.08060532965770732,0.125,39298
resnet50_conv3,3136,256,576,462422016,os,ring,8,16,10,split_m,392,256,576,6640,18502,0,25142,18502,1.6506244531063559,2.243000756674954,0.20632805663829448,0.28037509458436927,41500
resnet50_conv3,3136,256,576,462422016,os,ring,8,16,10,split_mn,1568,64,576,10790,112966,0,123756,112966,0.3353372765764892,0.3673671724235611,0.04191715957206115,0.04592089655294514,41500
resnet50_conv3,3136,256,576,462422016,os,ring,8,16,10,split_n,3136,32,576,20750,225862,0,246612,225862,0.16828053784892869,0.18374051411924094,0.021035067231116086,0.022967564264905118,41500
resnet50_conv3,3136,256,576,462422016,os,ring,8,16,10,split_k,3136,256,72,16300,213836,175756,405892,389592,0.10224394666561548,0.10652169449064662,0.012780493333201935,0.013315211811330828,41500
resnet50_conv3,3136,256,576,462422016,os,ring,8,64,10,split_m,392,256,576,6640,4678,0,11318,6640,3.6667255698886727,6.25,0.4583406962360841,0.78125,41500
resnet50_conv3,3136,256,576,462422016,os,ring,8,64,10,split_mn,1568,64,576,10790,28294,0,39084,28294,1.0618155767065807,1.4667420654555736,0.13272694708832258,0.1833427581819467,41500
resnet50_conv3,3136,256,576,462422016,os,ring,8,64,10,split_n,3136,32,576,20750,56518,0,77268,56518,0.5370916809028317,0.734279344633568,0.06713646011285396,0.091784918079196,41500
resnet50_conv3,3136,256,576,462422016,os,ring,8,64,10,split_k,3136,256,72,16300,53564,44044,113908,97608,0.36432910770095167,0.42517006802721086,0.04554113846261896,0.05314625850340136,41500
resnet50_conv3,3136,256,576,462422016,os,ring,8,256,10,split_m,392,256,576,6640,1222,0,7862,6640,5.278555075044518,6.25,0.6598193843805648,0.78125,41500
resnet50_conv3,3136,256,576,462422016,os,ring,8,256,10,split_mn,1568,64,576,10790,7126,0,17916,10790,2.3163652601027014,3.8461538461538463,0.2895456575128377,0.4807692307692308,41500
resnet50_conv3,3136,256,576,462422016,os,ring,8,256,10,split_n,3136,32,576,20750,14182,0,34932,20750,1.1880224436047178,2.0,0.14850280545058972,0.25,41500
resnet50_conv3,3136,256,576,462422016,os,ring,8,256,10,split_k,3136,256,72,16300,13496,11116,40912,27416,1.0143723113023073,1.513714619200467,0.12679653891278841,0.18921432740005836,41500
resnet50_conv3,3136,256,576,462422016,os,mesh,8,16,10,split_m,392,256,576,6640,73768,0,80408,73768,0.5161177992239578,0.5625745580739616,0.06451472490299473,0.0703218197592452,41500
resnet50_conv3,3136,256,576,462422016,os,mesh,8,16,10,split_mn,1568,64,576,10790,451624,0,462414,451624,0.08974641771226649,0.09189059925956106,0.011218302214033311,0.011486324907445132,41500
resnet50_conv3,3136,256,576,462422016,os,mesh,8,16,10,split_n,3136,32,576,20750,903208,0,923958,903208,0.044915461525307426,0.04594733439030655,0.005614432690663428,0.005743416798788319,41500
resnet50_conv3,3136,256,576,462422016,os,mesh,8,16,10,split_k,3136,256,72,16300,976976,200784,1194060,1177760,0.034755372426846225,0.03523638092650455,0.004344421553355778,0.004404547615813069,41500
resnet50_conv3,3136,256,576,462422016,os,mesh,8,64,10,split_m,392,256,576,6640,18472,0,25112,18472,1.6525963682701497,2.246643568644435,0.2065745460337687,0.28083044608055435,41500
resnet50_conv3,3136,256,576,462422016,os,mesh,8,64,10,split_mn,1568,64,576,10790,112936,0,123726,112936,0.33541858623086496,0.3674647588014451,0.04192732327885812,0.045933094850180635,41500
resnet50_conv3,3136,256,576,462422016,os,mesh,8,64,10,split_n,3136,32,576,20750,225832,0,246582,225832,0.168301011428247,0.183764922597329,0.021037626428530874,0.022970615324666124,41500
resnet50_conv3,3136,256,576,462422016,os,mesh,8,64,10,split_k,3136,256,72,16300,244304,50256,310860,294560,0.13350061120761758,0.14088810429114612,0.016687576400952198,0.017611013036393265,41500
resnet50_conv3,3136,256,576,462422016,os,mesh,8,256,10,split_m,392,256,576,6640,4648,0,11288,6640,3.676470588235294,6.25,0.45955882352941174,0.78125,41500
resnet50_conv3,3136,256,576,462422016,os,mesh,8,256,10,split_mn,1568,64,576,10790,28264,0,39054,28264,1.0626312285553337,1.4682988961222756,0.1328289035694167,0.18353736201528445,41500
resnet50_conv3,3136,256,576,462422016,os,mesh,8,256,10,split_n,3136,32,576,20750,56488,0,77238,56488,0.537300292602087,0.734669310295992,0.06716253657526088,0.091833663786999,41500
resnet50_conv3,3136,256,576,462422016,os,mesh,8,256,10,split_k,3136,256,72,16300,61136,12624,90060,73760,0.46080390850544084,0.5626355748373102,0.057600488563180105,0.07032944685466377,41500
resnet50_conv3,3136,256,576,462422016,os,all_to_all,8,16,10,split_m,392,256,576,6640,18442,0,25082,18442,1.6545730005581691,2.2502982322958465,0.20682162506977114,0.2812872790369808,41500
resnet50_conv3,3136,256,576,462422016,os,all_to_all,8,16,10,split_mn,1568,64,576,10790,112906,0,123696,112906,0.3354999353253137,0.3675623970382442,0.04193749191566421,0.04594529962978053,41500
resnet50_conv3,3136,256,576,462422016,os,all_to_all,8,16,10,split_n,3136,32,576,20750,225802,0,246552,225802,0.16832148998994126,0.1837893375612262,0.021040186248742657,0.022973667195153275,41500
resnet50_conv3,3136,256,576,462422016,os,all_to_all,8,16,10,split_k,3136,256,72,16300,30548,200724,247572,231272,0.16762800316675552,0.17944238818361063,0.02095350039584444,0.02243029852295133,41500
resnet50_conv3,3136,256,576,462422016,os,all_to_all,8,64,10,split_m,392,256,576,6640,4618,0,11258,6640,3.686267543080476,6.25,0.4607834428850595,0.78125,41500
resnet50_conv3,3136,256,576,462422016,os,all_to_all,8,64,10,split_mn,1568,64,576,10790,28234,0,39024,28234,1.063448134481345,1.4698590352057803,0.1329310168101681,0.18373237940072254,41500
resnet50_conv3,3136,256,576,462422016,os,all_to_all,8,64,10,split_k,3136,256,72,16300,7652,50196,74148,66496,0.559691427954901,0.6240976900866217,0.06996142849436263,0.07801221126082772,41500
resnet50_conv3,3136,256,576,462422016,os,all_to_all,8,64,10,split_n,3136,32,576,20750,56458,0,77208,56458,0.5375090664179878,0.735059690389316,0.06718863330224847,0.0918824612986645,41500
resnet50_conv3,3136,256,576,462422016,os,all_to_all,8,256,10,split_m,392,256,576,6640,1162,0,7802,6640,5.319148936170213,6.25,0.6648936170212766,0.78125,41500
resnet50_conv3,3136,256,576,462422016,os,all_to_all,8,256,10,split_mn,1568,64,576,10790,7066,0,17856,10790,2.324148745519713,3.8461538461538463,0.29051859318996415,0.4807692307692308,41500
resnet50_conv3,3136,256,576,462422016,os,all_to_all,8,256,10,split_k,3136,256,72,16300,1928,12564,30792,28864,1.3477526630293584,1.4377771618625277,0.1684690828786698,0.17972214523281596,41500
resnet50_conv3,3136,256,576,462422016,os,all_to_all,8,256,10,split_n,3136,32,576,20750,14122,0,34872,20750,1.1900665290204175,2.0,0.1487583161275522,0.25,41500
resnet50_conv3,3136,256,576,462422016,os,hierarchical,8,16,10,split_m,392,256,576,6640,27683,0,34323,27683,1.20910176849343,1.4991149803128274,0.15113772106167875,0.18738937253910343,41500
resnet50_conv3,3136,256,576,462422016,os,hierarchical,8,16,10,split_mn,1568,64,576,10790,169379,0,180169,169379,0.23033929255310293,0.24501266390756823,0.028792411569137866,0.03062658298844603,41500
resnet50_conv3,3136,256,576,462422016,os,hierarchical,8,16,10,split_n,3136,32,576,20750,338723,0,359473,338723,0.11544677903486493,0.12251899044351874,0.014430847379358116,0.015314873805439843,41500
resnet50_conv3,3136,256,576,462422016,os,hierarchical,8,16,10,split_k,3136,256,72,16300,198502,200774,415576,399276,0.09986139719329316,0.10393812801170117,0.012482674649161645,0.012992266001462647,41500
resnet50_conv3,3136,256,576,462422016,os,hierarchical,8,64,10,split_m,392,256,576,6640,6947,0,13587,6947,3.054390225951277,5.973801640996113,0.3817987782439096,0.7467252051245141,41500
resnet50_conv3,3136,256,576,462422016,os,hierarchical,8,64,10,split_mn,1568,64,576,10790,42371,0,53161,42371,0.7806474671281579,0.9794434872908357,0.09758093339101974,0.12243043591135447,41500
resnet50_conv3,3136,256,576,462422016,os,hierarchical,8,64,10,split_n,3136,32,576,20750,84707,0,105457,84707,0.3935253231174792,0.48992409127935116,0.0491906653896849,0.061240511409918895,41500
resnet50_conv3,3136,256,576,462422016,os,hierarchical,8,64,10,split_k,3136,256,72,16300,49678,50246,116224,99924,0.3570691079295154,0.4153156398863136,0.044633638491189426,0.0519144549857892,41500
resnet50_conv3,3136,256,576,462422016,os,hierarchical,8,256,10,split_m,392,256,576,6640,1763,0,8403,6640,4.938712364631679,6.25,0.6173390455789599,0.78125,41500
resnet50_conv3,3136,256,576,462422016,os,hierarchical,8,256,10,split_mn,1568,64,576,10790,10619,0,21409,10790,1.9384371058900463,3.8461538461538463,0.24230463823625578,0.4807692307692308,41500
resnet50_conv3,3136,256,576,462422016,os,hierarchical,8,256,10,split_k,3136,256,72,16300,12472,12614,41386,28914,1.0027545546803267,1.4352908625579304,0.12534431933504084,0.1794113578197413,41500
resnet50_conv3,3136,256,576,462422016,os,hierarchical,8,256,10,split_n,3136,32,576,20750,21203,0,41953,21203,0.9892022024646628,1.9572701976135451,0.12365027530808285,0.24465877470169314,41500
resnet50_conv5,49,512,4608,115605504,os,ring,8,16,10,split_n,49,64,4608,4862,28294,0,33156,28294,0.5865605018699481,0.687354209373012,0.07332006273374352,0.0859192761716265,19448
