workload,m,n,k,num_chiplets,link_bw,best_strategy,speedup,compute_cycles,distribute_cycles,reduce_cycles
resnet50_conv3,3136,256,576,7,64,split_m,3.669968164131588,6640,4668,0
resnet50_conv3,3136,256,576,7,128,split_m,4.609062638827188,6640,2364,0
resnet50_conv3,3136,256,576,7,256,split_m,5.285277636271013,6640,1212,0
resnet50_conv3,3136,256,576,8,1,split_m,0.1375894331315355,6640,294982,0
resnet50_conv3,3136,256,576,8,2,split_m,0.26919035325558166,6640,147526,0
resnet50_conv3,3136,256,576,8,4,split_m,0.5159253089335886,6640,73798,0
resnet50_conv3,3136,256,576,8,8,split_m,0.95240280901455,6640,36934,0
resnet50_conv3,3136,256,576,8,16,split_m,1.6506244531063559,6640,18502,0
resnet50_conv3,3136,256,576,8,32,split_m,2.6058018334798443,6640,9286,0
resnet50_conv3,3136,256,576,8,64,split_m,3.6667255698886727,6640,4678,0
resnet50_conv3,3136,256,576,8,128,split_m,4.603949412025738,6640,2374,0
resnet50_conv3,3136,256,576,8,256,split_m,5.278555075044518,6640,1222,0
resnet50_conv5,49,512,4608,2,1,split_n,0.04215747055176689,9724,451594,0
resnet50_conv5,49,512,4608,2,2,split_n,0.08257262467837946,9724,225802,0
resnet50_conv5,49,512,4608,2,4,split_n,0.15859088314441816,9724,112906,0
resnet50_conv5,49,512,4608,2,8,split_n,0.2938563355595177,9724,56458,0
resnet50_conv5,49,512,4608,2,16,split_n,0.5123557616312767,9724,28234,0
resnet50_conv5,49,512,4608,2,32,split_n,0.8155665520422712,9724,14122,0
resnet50_conv5,49,512,4608,2,64,split_n,1.1583085169743894,9724,7066,0
resnet50_conv5,49,512,4608,2,128,split_n,1.4664454833358467,9724,3538,0
resnet50_conv5,49,512,4608,2,256,split_n,1.6914245955818403,9724,1774,0
resnet50_conv5,49,512,4608,3,1,split_n,0.04215655672319911,9724,451604,0
resnet50_conv5,49,512,4608,3,2,split_n,0.0825691189457238,9724,225812,0
resnet50_conv5,49,512,4608,3,4,split_n,0.15857795172863667,9724,112916,0
resnet50_conv5,49,512,4608,3,8,split_n,0.29381194102006286,9724,56468,0
resnet50_conv5,49,512,4608,3,16,split_n,0.512220817530552,9724,28244,0
resnet50_conv5,49,512,4608,3,32,split_n,0.8152246814218645,9724,14132,0
resnet50_conv5,49,512,4608,3,64,split_n,1.1576190476190475,9724,7076,0
resnet50_conv5,49,512,4608,3,128,split_n,1.4653405666063894,9724,3548,0
resnet50_conv5,49,512,4608,3,256,split_n,1.6899548140424052,9724,1784,0
resnet50_conv5,49,512,4608,4,1,split_n,0.04260464953250554,4862,451614,0
resnet50_conv5,49,512,4608,4,2,split_n,0.08430580361013335,4862,225822,0
resnet50_conv5,49,512,4608,4,4,split_n,0.1651101979828166,4862,112926,0
resnet50_conv5,49,512,4608,4,8,split_n,0.3170524942940985,4862,56478,0
resnet50_conv5,49,512,4608,4,16,split_n,0.5872689938398358,4862,28254,0
resnet50_conv5,49,512,4608,4,32,split_n,1.023363502420543,4862,14142,0
resnet50_conv5,49,512,4608,4,64,split_n,1.6277201205222631,4862,7086,0
resnet50_conv5,49,512,4608,4,128,split_n,2.3097387173396675,4862,3558,0
resnet50_conv5,49,512,4608,4,256,split_n,2.921875,4862,1794,0
resnet50_conv5,49,512,4608,5,1,split_n,0.04260371621473605,4862,451624,0
resnet50_conv5,49,512,4608,5,2,split_n,0.0843021491672952,4862,225832,0
resnet50_conv5,49,512,4608,5,4,split_n,0.16509618159900846,4862,112936,0
resnet50_conv5,49,512,4608,5,8,split_n,0.31700081499592503,4862,56488,0
resnet50_conv5,49,512,4608,5,16,split_n,0.5870917104389302,4862,28264,0
resnet50_conv5,49,512,4608,5,32,split_n,1.0228252866309036,4862,14152,0
resnet50_conv5,49,512,4608,5,64,split_n,1.6263589228968054,4862,7096,0
resnet50_conv5,49,512,4608,5,128,split_n,2.3069988137603796,4862,3568,0
resnet50_conv5,49,512,4608,5,256,split_n,2.9174917491749173,4862,1804,0
resnet50_conv5,49,512,4608,6,1,split_n,0.04260278293785707,4862,451634,0
resnet50_conv5,49,512,4608,6,2,split_n,0.08429849504126499,4862,225842,0
resnet50_conv5,49,512,4608,6,4,split_n,0.1650821675947304,4862,112946,0
resnet50_conv5,49,512,4608,6,8,split_n,0.3169491525423729,4862,56498,0
resnet50_conv5,49,512,4608,6,16,split_n,0.5869145340415258,4862,28274,0
resnet50_conv5,49,512,4608,6,32,split_n,1.0222876366694702,4862,14162,0
resnet50_conv5,49,512,4608,6,64,split_n,1.625,4862,7106,0
resnet50_conv5,49,512,4608,6,128,split_n,2.304265402843602,4862,3578,0
resnet50_conv5,49,512,4608,6,256,split_n,2.913121629718394,4862,1814,0
resnet50_conv5,49,512,4608,7,1,split_n,0.04260184970186591,4862,451644,0
resnet50_conv5,49,512,4608,7,2,split_n,0.08429484123200152,4862,225852,0
resnet50_conv5,49,512,4608,7,4,split_n,0.1650681559693765,4862,112956,0
resnet50_conv5,49,512,4608,7,8,split_n,0.31689750692520774,4862,56508,0
resnet50_conv5,49,512,4608,7,16,split_n,0.5867374645507754,4862,28284,0
resnet50_conv5,49,512,4608,7,32,split_n,1.0217505516444259,4862,14172,0
resnet50_conv5,49,512,4608,7,64,split_n,1.62364334613458,4862,7116,0
resnet50_conv5,49,512,4608,7,128,split_n,2.3015384615384615,4862,3588,0
resnet50_conv5,49,512,4608,7,256,split_n,2.9087645827101407,4862,1824,0
resnet50_conv5,49,512,4608,8,1,split_n,0.042600916506759894,4862,451654,0
resnet50_conv5,49,512,4608,8,2,split_n,0.0842911877394636,4862,225862,0
resnet50_conv5,49,512,4608,8,4,split_n,0.16505414672234103,4862,112966,0
resnet50_conv5,49,512,4608,8,8,split_n,0.31684587813620074,4862,56518,0
resnet50_conv5,49,512,4608,8,16,split_n,0.5865605018699481,4862,28294,0
resnet50_conv5,49,512,4608,8,32,split_n,1.0212140306658266,4862,14182,0
resnet50_conv5,49,512,4608,8,64,split_n,1.622288955622289,4862,7126,0
