workload,num_chiplets,link_bw,best_strategy,speedup,efficiency,compute_fraction,interconnect_fraction
resnet50_conv5,8,16,split_n,0.5865605018699481,0.07332006273374352,0.14664012546748703,0.8533598745325129
resnet50_conv5,8,32,split_n,1.0212140306658266,0.12765175383322833,0.25530350766645665,0.7446964923335433
resnet50_conv5,8,64,split_n,1.622288955622289,0.20278611945278613,0.40557223890557226,0.5944277610944277
resnet50_conv5,8,128,split_n,2.2988179669030733,0.28735224586288416,0.5747044917257683,0.4252955082742317
resnet50_conv5,8,256,split_n,2.90442054958184,0.36305256869773,0.72610513739546,0.27389486260454
resnet50_conv5,8,512,split_n,3.345029239766082,0.41812865497076024,0.8362573099415205,0.16374269005847952
resnet50_conv5,8,1024,split_n,3.619579378373348,0.4524474222966685,0.904894844593337,0.09510515540666298
resnet50_conv5,8,2048,split_n,3.774112167669319,0.4717640209586649,0.9435280419173298,0.05647195808267025
bert_qk_seq2048,2,1,split_m,0.2687992392474361,0.13439961962371805,0.13439961962371805,0.865600380376282
bert_qk_seq2048,2,2,split_m,0.4738919353148685,0.23694596765743425,0.23694596765743425,0.7630540323425657
bert_qk_seq2048,2,4,split_m,0.7661929411764706,0.3830964705882353,0.3830964705882353,0.6169035294117646
bert_qk_seq2048,2,8,split_m,1.1078631501592227,0.5539315750796113,0.5539315750796113,0.4460684249203887
bert_qk_seq2048,2,16,split_m,1.425759220988476,0.712879610494238,0.712879610494238,0.287120389505762
bert_qk_seq2048,2,32,split_m,1.6645810330020856,0.8322905165010428,0.8322905165010428,0.1677094834989572
bert_qk_seq2048,2,64,split_m,1.8167373354162017,0.9083686677081009,0.9083686677081009,0.09163133229189913
bert_qk_seq2048,2,128,split_m,1.903746316823348,0.951873158411674,0.951873158411674,0.04812684158832603
bert_qk_seq2048,2,256,split_m,1.950452824764004,0.975226412382002,0.975226412382002,0.024773587617997972
bert_qk_seq2048,2,512,split_m,1.9746761752292243,0.9873380876146122,0.9873380876146122,0.01266191238538783
bert_qk_seq2048,2,1024,split_m,1.9870148889431292,0.9935074444715646,0.9935074444715646,0.0064925555284354175
bert_qk_seq2048,2,2048,split_m,1.9932422506243572,0.9966211253121786,0.9966211253121786,0.003378874687821387
bert_qk_seq2048,4,1,split_mn,0.5375097389306324,0.1343774347326581,0.1343774347326581,0.8656225652673419
bert_qk_seq2048,4,2,split_mn,0.9475080891082195,0.23687702227705487,0.23687702227705487,0.7631229777229451
bert_qk_seq2048,4,4,split_mn,1.5316650987770462,0.38291627469426154,0.38291627469426154,0.6170837253057384
bert_qk_seq2048,4,8,split_mn,2.214219659467987,0.5535549148669967,0.5535549148669967,0.4464450851330033
bert_qk_seq2048,4,16,split_mn,2.849023587877091,0.7122558969692727,0.7122558969692727,0.2877441030307273
bert_qk_seq2048,4,32,split_mn,3.3257619086526677,0.8314404771631669,0.8314404771631669,0.16855952283683306
bert_qk_seq2048,4,64,split_mn,3.6294248773963442,0.9073562193490861,0.9073562193490861,0.09264378065091394
bert_qk_seq2048,4,128,split_mn,3.803045874988321,0.9507614687470802,0.9507614687470802,0.04923853125291977
bert_qk_seq2048,4,256,split_mn,3.896238154494113,0.9740595386235282,0.9740595386235282,0.02594046137647177
bert_qk_seq2048,4,512,split_mn,3.9445682721193913,0.9861420680298478,0.9861420680298478,0.01385793197015217
bert_qk_seq2048,4,1024,split_mn,3.9691857630424185,0.9922964407606046,0.9922964407606046,0.007703559239395363
bert_qk_seq2048,4,2048,split_mn,3.981610094884085,0.9954025237210212,0.9954025237210212,0.004597476278978774
bert_qk_seq2048,8,1,split_mn,0.5760624973464102,0.07200781216830128,0.07200781216830128,0.9279921878316987
bert_qk_seq2048,8,2,split_mn,1.0742392652608799,0.13427990815760998,0.13427990815760998,0.86572009184239
bert_qk_seq2048,8,4,split_mn,1.892593109220254,0.23657413865253174,0.23657413865253174,0.7634258613474683
bert_qk_seq2048,8,8,split_mn,3.0570033796470146,0.38212542245587683,0.38212542245587683,0.6178745775441232
bert_qk_seq2048,8,16,split_mn,4.415229417507322,0.5519036771884153,0.5519036771884153,0.44809632281158474
bert_qk_seq2048,8,32,split_mn,5.676195788592944,0.709524473574118,0.709524473574118,0.29047552642588204
bert_qk_seq2048,8,64,split_mn,6.621766715470962,0.8277208394338702,0.8277208394338702,0.1722791605661298
bert_qk_seq2048,8,128,split_mn,7.223425022182786,0.9029281277728483,0.9029281277728483,0.09707187222715175
bert_qk_seq2048,8,256,split_mn,7.5672058003346345,0.9459007250418293,0.9459007250418293,0.054099274958170684
bert_qk_seq2048,8,512,split_mn,7.751666349266807,0.9689582936583508,0.9689582936583508,0.031041706341649156
