workload,m,n,k,total_macs,dataflow,topology,num_chiplets,link_bw,link_latency,strategy,sub_m,sub_n,sub_k,compute_cycles,distribute_cycles,reduce_cycles,total_cycles_no_overlap,total_cycles_overlap,speedup_no_overlap,speedup_overlap,efficiency_no_overlap,efficiency_overlap,baseline_cycles
bert_qk_seq512,512,512,64,16777216,os,mesh,4,256,10,split_mn,256,256,64,1272,276,0,1548,1272,3.2868217054263567,4.0,0.8217054263565892,1.0,5088
bert_qk_seq512,512,512,64,16777216,os,mesh,4,256,10,split_m,128,512,64,1272,532,0,1804,1272,2.82039911308204,4.0,0.70509977827051,1.0,5088
bert_qk_seq512,512,512,64,16777216,os,mesh,4,256,10,split_n,512,128,64,1272,532,0,1804,1272,2.82039911308204,4.0,0.70509977827051,1.0,5088
bert_qk_seq512,512,512,64,16777216,os,mesh,4,256,10,split_k,512,512,16,4320,1064,4136,9520,8456,0.534453781512605,0.6017029328287606,0.13361344537815126,0.15042573320719016,5088
bert_qk_seq512,512,512,64,16777216,os,mesh,8,1,10,split_mn,256,128,64,636,131112,0,131748,131112,0.03861918207487021,0.03880651656598939,0.004827397759358776,0.004850814570748673,5088
bert_qk_seq512,512,512,64,16777216,os,mesh,8,1,10,split_m,64,512,64,1272,262184,0,263456,262184,0.019312522774201386,0.019406218533548958,0.002414065346775173,0.0024257773166936197,5088
bert_qk_seq512,512,512,64,16777216,os,mesh,8,1,10,split_n,512,64,64,1272,262184,0,263456,262184,0.019312522774201386,0.019406218533548958,0.002414065346775173,0.0024257773166936197,5088
bert_qk_seq512,512,512,64,16777216,os,mesh,8,1,10,split_k,512,512,8,4192,524368,1048656,1577216,1573024,0.003225937347833144,0.0032345342474113556,0.000403242168479143,0.00040431678092641945,5088
bert_qk_seq512,512,512,64,16777216,os,mesh,8,2,10,split_mn,256,128,64,636,65576,0,66212,65576,0.07684407660242856,0.0775893619616933,0.00960550957530357,0.009698670245211663,5088
bert_qk_seq512,512,512,64,16777216,os,mesh,8,2,10,split_m,64,512,64,1272,131112,0,132384,131112,0.03843364757070341,0.03880651656598939,0.004804205946337926,0.004850814570748673,5088
bert_qk_seq512,512,512,64,16777216,os,mesh,8,2,10,split_n,512,64,64,1272,131112,0,132384,131112,0.03843364757070341,0.03880651656598939,0.004804205946337926,0.004850814570748673,5088
bert_qk_seq512,512,512,64,16777216,os,mesh,8,2,10,split_k,512,512,8,4192,262224,524368,790784,786592,0.006434121074781482,0.0064684105610024,0.0008042651343476853,0.0008085513201253,5088
bert_qk_seq512,512,512,64,16777216,os,mesh,8,4,10,split_mn,256,128,64,636,32808,0,33444,32808,0.15213491209185503,0.15508412582297001,0.01901686401148188,0.019385515727871252,5088
bert_qk_seq512,512,512,64,16777216,os,mesh,8,4,10,split_m,64,512,64,1272,65576,0,66848,65576,0.07611297271421733,0.0775893619616933,0.009514121589277166,0.009698670245211663,5088
bert_qk_seq512,512,512,64,16777216,os,mesh,8,4,10,split_n,512,64,64,1272,65576,0,66848,65576,0.07611297271421733,0.0775893619616933,0.009514121589277166,0.009698670245211663,5088
bert_qk_seq512,512,512,64,16777216,os,mesh,8,4,10,split_k,512,512,8,4192,131152,262224,397568,393376,0.012797810688989053,0.012934190189538761,0.0015997263361236316,0.0016167737736923452,5088
bert_qk_seq512,512,512,64,16777216,os,mesh,8,8,10,split_mn,256,128,64,636,16424,0,17060,16424,0.2982415005861665,0.30979055041402825,0.03728018757327081,0.03872381880175353,5088
bert_qk_seq512,512,512,64,16777216,os,mesh,8,8,10,split_m,64,512,64,1272,32808,0,34080,32808,0.14929577464788732,0.15508412582297001,0.018661971830985915,0.019385515727871252,5088
bert_qk_seq512,512,512,64,16777216,os,mesh,8,8,10,split_n,512,64,64,1272,32808,0,34080,32808,0.14929577464788732,0.15508412582297001,0.018661971830985915,0.019385515727871252,5088
bert_qk_seq512,512,512,64,16777216,os,mesh,8,8,10,split_k,512,512,8,4192,65616,131152,200960,196768,0.02531847133757962,0.025857863067165393,0.0031648089171974524,0.003232232883395674,5088
bert_qk_seq512,512,512,64,16777216,os,mesh,8,16,10,split_mn,256,128,64,636,8232,0,8868,8232,0.5737483085250338,0.6180758017492711,0.07171853856562922,0.07725947521865889,5088
bert_qk_seq512,512,512,64,16777216,os,mesh,8,16,10,split_m,64,512,64,1272,16424,0,17696,16424,0.2875226039783002,0.30979055041402825,0.035940325497287526,0.03872381880175353,5088
bert_qk_seq512,512,512,64,16777216,os,mesh,8,16,10,split_n,512,64,64,1272,16424,0,17696,16424,0.2875226039783002,0.30979055041402825,0.035940325497287526,0.03872381880175353,5088
bert_qk_seq512,512,512,64,16777216,os,mesh,8,16,10,split_k,512,512,8,4192,32848,65616,102656,98464,0.04956359102244389,0.05167370815729607,0.006195448877805486,0.006459213519662009,5088
bert_qk_seq512,512,512,64,16777216,os,mesh,8,32,10,split_mn,256,128,64,636,4136,0,4772,4136,1.066219614417435,1.230174081237911,0.13327745180217937,0.15377176015473887,5088
bert_qk_seq512,512,512,64,16777216,os,mesh,8,32,10,split_m,64,512,64,1272,8232,0,9504,8232,0.5353535353535354,0.6180758017492711,0.06691919191919192,0.07725947521865889,5088
bert_qk_seq512,512,512,64,16777216,os,mesh,8,32,10,split_n,512,64,64,1272,8232,0,9504,8232,0.5353535353535354,0.6180758017492711,0.06691919191919192,0.07725947521865889,5088
bert_qk_seq512,512,512,64,16777216,os,mesh,8,32,10,split_k,512,512,8,4192,16464,32848,53504,49312,0.0950956937799043,0.10317975340687865,0.011886961722488038,0.012897469175859832,5088
bert_qk_seq512,512,512,64,16777216,os,mesh,8,64,10,split_mn,256,128,64,636,2088,0,2724,2088,1.86784140969163,2.4367816091954024,0.23348017621145375,0.3045977011494253,5088
bert_qk_seq512,512,512,64,16777216,os,mesh,8,64,10,split_m,64,512,64,1272,4136,0,5408,4136,0.9408284023668639,1.230174081237911,0.11760355029585799,0.15377176015473887,5088
bert_qk_seq512,512,512,64,16777216,os,mesh,8,64,10,split_n,512,64,64,1272,4136,0,5408,4136,0.9408284023668639,1.230174081237911,0.11760355029585799,0.15377176015473887,5088
bert_qk_seq512,512,512,64,16777216,os,mesh,8,64,10,split_k,512,512,8,4192,8272,16464,28928,24736,0.17588495575221239,0.2056921086675291,0.021985619469026548,0.025711513583441137,5088
bert_qk_seq512,512,512,64,16777216,os,mesh,8,128,10,split_mn,256,128,64,636,1064,0,1700,1064,2.9929411764705884,4.7819548872180455,0.37411764705882355,0.5977443609022557,5088
bert_qk_seq512,512,512,64,16777216,os,mesh,8,128,10,split_m,64,512,64,1272,2088,0,3360,2088,1.5142857142857142,2.4367816091954024,0.18928571428571428,0.3045977011494253,5088
