workload,num_chiplets,link_bw,best_strategy,speedup,efficiency,compute_fraction,interconnect_fraction
resnet50_conv3_1_2,2,128,split_m,1.2398589065255732,0.6199294532627866,0.7084908037288989,0.29150919627110106
resnet50_conv3_1_2,2,256,split_m,1.4503389330975538,0.7251694665487769,0.8287651046271736,0.17123489537282643
resnet50_conv3_1_2,2,512,split_m,1.5848631239935589,0.7924315619967794,0.9056360708534622,0.0943639291465378
resnet50_conv3_1_2,2,1024,split_m,1.6619385342789599,0.8309692671394799,0.9496791624451199,0.05032083755488015
resnet50_conv3_1_2,2,2048,split_m,1.7033575631706472,0.8516787815853236,0.9733471789546556,0.026652821045344388
resnet50_conv3_1_2,4,1,split_m,0.033054131934415656,0.008263532983603914,0.00944403769554733,0.9905559623044526
resnet50_conv3_1_2,4,2,split_m,0.06548323996327296,0.01637080999081824,0.018709497132363705,0.9812905028676363
resnet50_conv3_1_2,4,4,split_m,0.12853598014888337,0.03213399503722084,0.03672456575682382,0.9632754342431762
resnet50_conv3_1_2,4,8,split_m,0.2478718581574573,0.061967964539364324,0.07082053090213065,0.9291794690978693
resnet50_conv3_1_2,4,16,split_m,0.46263044091379146,0.11565761022844787,0.132180125975369,0.867819874024631
resnet50_conv3_1_2,4,32,split_m,0.8162215956211644,0.2040553989052911,0.23320617017747552,0.7667938298225245
resnet50_conv3_1_2,4,64,split_m,1.3210738255033556,0.3302684563758389,0.3774496644295302,0.6225503355704698
resnet50_conv3_1_2,4,128,split_m,1.9125534395647104,0.4781383598911776,0.5464438398756316,0.4535561601243684
resnet50_conv3_1_2,4,256,split_m,2.4641962944416624,0.6160490736104156,0.7040560841261893,0.29594391587381075
resnet50_conv3_1_2,4,512,split_m,2.879461673493271,0.7198654183733177,0.8227033352837917,0.1772966647162083
resnet50_conv3_1_2,4,1024,split_m,3.144408945686901,0.7861022364217253,0.8984025559105431,0.10159744408945692
resnet50_conv3_1_2,4,2048,split_m,3.2960482250502343,0.8240120562625586,0.941728064300067,0.05827193569993305
resnet50_conv3_1_2,8,1,split_m,0.03320647259673131,0.004150809074591414,0.004743781799533045,0.995256218200467
resnet50_conv3_1_2,8,2,split_m,0.06608385034780974,0.008260481293476217,0.009440550049687106,0.9905594499503129
resnet50_conv3_1_2,8,4,split_m,0.13087069836710813,0.016358837295888516,0.01869581405244402,0.981304185947556
resnet50_conv3_1_2,8,8,split_m,0.25670318205529474,0.03208789775691184,0.03667188315075639,0.9633281168492436
resnet50_conv3_1_2,8,16,split_m,0.49437412095639943,0.06179676511954993,0.07062487442234278,0.9293751255776572
resnet50_conv3_1_2,8,32,split_m,0.9205013093901983,0.11506266367377478,0.13150018705574262,0.8684998129442574
resnet50_conv3_1_2,8,64,split_m,1.6176857330703485,0.20221071663379356,0.23109796186719264,0.7689020381328073
resnet50_conv3_1_2,8,128,split_m,2.6037037037037036,0.32546296296296295,0.37195767195767193,0.6280423280423281
resnet50_conv3_1_2,8,256,split_m,3.7450532724505328,0.4681316590563166,0.5350076103500762,0.46499238964992384
resnet50_conv3_1_2,8,512,split_m,4.796296296296297,0.5995370370370371,0.6851851851851852,0.31481481481481477
resnet50_conv3_1_2,8,1024,split_m,5.579365079365079,0.6974206349206349,0.7970521541950113,0.2029478458049887
resnet50_conv3_1_2,8,2048,split_m,6.075308641975309,0.7594135802469136,0.8679012345679012,0.13209876543209875
resnet50_conv4_1_2,2,1,split_n,0.011265074964714069,0.0056325374823570345,0.0056325374823570345,0.994367462517643
resnet50_conv4_1_2,2,2,split_n,0.022403713516235685,0.011201856758117842,0.011201856758117842,0.9887981432418822
resnet50_conv4_1_2,2,4,split_n,0.04431010142128375,0.022155050710641874,0.022155050710641874,0.9778449492893582
resnet50_conv4_1_2,2,8,split_n,0.08669570080154547,0.043347850400772735,0.043347850400772735,0.9566521495992273
resnet50_conv4_1_2,2,16,split_n,0.1661740344950791,0.08308701724753954,0.08308701724753954,0.9169129827524605
resnet50_conv4_1_2,2,32,split_n,0.30680659670164917,0.15340329835082459,0.15340329835082459,0.8465967016491754
resnet50_conv4_1_2,2,64,split_n,0.5318640191288075,0.26593200956440377,0.26593200956440377,0.7340679904355962
resnet50_conv4_1_2,2,128,split_n,0.8399277622722049,0.41996388113610245,0.41996388113610245,0.5800361188638976
resnet50_conv4_1_2,2,256,split_n,1.1823434250057776,0.5911717125028888,0.5911717125028888,0.4088282874971112
resnet50_conv4_1_2,2,512,split_n,1.4850507982583454,0.7425253991291727,0.7425253991291727,0.2574746008708273
resnet50_conv4_1_2,2,1024,split_n,1.7030625832223703,0.8515312916111851,0.8515312916111851,0.14846870838881487
resnet50_conv4_1_2,2,2048,split_n,1.8379737740255075,0.9189868870127538,0.9189868870127538,0.08101311298724623
resnet50_conv4_1_2,4,1,split_mn,0.017271763569947942,0.0043179408924869855,0.0043179408924869855,0.9956820591075131
resnet50_conv4_1_2,4,2,split_mn,0.03439327731092437,0.008598319327731092,0.008598319327731092,0.9914016806722689
resnet50_conv4_1_2,4,4,split_mn,0.06819332995654608,0.01704833248913652,0.01704833248913652,0.9829516675108635
resnet50_conv4_1_2,4,8,split_mn,0.1340741128989989,0.033518528224749725,0.033518528224749725,0.9664814717752502
resnet50_conv4_1_2,4,16,split_mn,0.25935313799046944,0.06483828449761736,0.06483828449761736,0.9351617155023826
resnet50_conv4_1_2,4,32,split_mn,0.4867745004757374,0.12169362511893435,0.12169362511893435,0.8783063748810657
resnet50_conv4_1_2,4,64,split_mn,0.8668248051507963,0.21670620128769907,0.21670620128769907,0.783293798712301
resnet50_conv4_1_2,4,128,split_mn,1.4219010561423013,0.35547526403557533,0.35547526403557533,0.6445247359644246
resnet50_conv4_1_2,4,256,split_mn,2.0915780866721176,0.5228945216680294,0.5228945216680294,0.4771054783319706
resnet50_conv4_1_2,4,512,split_mn,2.7358288770053476,0.6839572192513369,0.6839572192513369,0.3160427807486631
resnet50_conv4_1_2,4,1024,split_mn,3.233881163084703,0.8084702907711757,0.8084702907711757,0.19152970922882429
resnet50_conv4_1_2,4,2048,split_mn,3.557719054242003,0.8894297635605007,0.8894297635605007,0.11057023643949926
resnet50_conv4_1_2,8,1,split_mn,0.022526925752732203,0.0028158657190915253,0.005631731438183051,0.9943682685618169
resnet50_conv4_1_2,8,2,split_mn,0.04479467647316347,0.005599334559145434,0.011198669118290868,0.9888013308817092
resnet50_conv4_1_2,8,4,split_mn,0.08857034036217583,0.011071292545271979,0.022142585090543957,0.977857414909456
resnet50_conv4_1_2,8,8,split_mn,0.1732006229263999,0.021650077865799987,0.043300155731599975,0.9566998442684
resnet50_conv4_1_2,8,16,split_mn,0.33164786723713213,0.04145598340464152,0.08291196680928303,0.917088033190717
resnet50_conv4_1_2,8,32,split_mn,0.6112305854241338,0.07640382317801672,0.15280764635603344,0.8471923536439665
resnet50_conv4_1_2,8,64,split_mn,1.0565881866997109,0.13207352333746386,0.2641470466749277,0.7358529533250723
resnet50_conv4_1_2,8,128,split_mn,1.6621182586094867,0.20776478232618584,0.4155295646523717,0.5844704353476283
resnet50_conv4_1_2,8,256,split_mn,2.3296903460837886,0.29121129326047357,0.5824225865209471,0.41757741347905286
resnet50_conv4_1_2,8,512,split_mn,2.915099715099715,0.3643874643874644,0.7287749287749288,0.2712250712250712
resnet50_conv4_1_2,8,1024,split_mn,3.333985011404366,0.41674812642554576,0.8334962528510915,0.16650374714890848
resnet50_conv4_1_2,8,2048,split_mn,3.5914355914355913,0.4489294489294489,0.8978588978588978,0.10214110214110217
resnet50_conv5_1_2,2,1,split_n,0.04215747055176689,0.021078735275883446,0.021078735275883446,0.9789212647241166
resnet50_conv5_1_2,2,2,split_n,0.08257262467837946,0.04128631233918973,0.04128631233918973,0.9587136876608102
resnet50_conv5_1_2,2,4,split_n,0.15859088314441816,0.07929544157220908,0.07929544157220908,0.9207045584277909
resnet50_conv5_1_2,2,8,split_n,0.2938563355595177,0.14692816777975884,0.14692816777975884,0.8530718322202412
resnet50_conv5_1_2,2,16,split_n,0.5123557616312767,0.25617788081563836,0.25617788081563836,0.7438221191843617
resnet50_conv5_1_2,2,32,split_n,0.8155665520422712,0.4077832760211356,0.4077832760211356,0.5922167239788644
resnet50_conv5_1_2,2,64,split_n,1.1583085169743894,0.5791542584871947,0.5791542584871947,0.4208457415128053
